award,start-date,fund,intervention,amount,organisation,organisations,documentation-url,notes
298,45715,green-belt-reviews,plan-making,70000,local-authority:BRT,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
299,45715,green-belt-reviews,plan-making,70000,local-authority:BKM,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
300,45715,green-belt-reviews,plan-making,70000,local-authority:BUN,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
301,45715,green-belt-reviews,plan-making,70000,local-authority:CLD,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
302,45715,green-belt-reviews,plan-making,70000,local-authority:CAN,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
303,45715,green-belt-reviews,plan-making,70000,local-authority:CAS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
304,45715,green-belt-reviews,plan-making,70000,local-authority:CBF,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
305,45715,green-belt-reviews,plan-making,70000,local-authority:CHE,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
306,45715,green-belt-reviews,plan-making,70000,local-authority:CHW,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
307,45715,green-belt-reviews,plan-making,70000,local-authority:CHS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
308,45715,green-belt-reviews,plan-making,70000,local-authority:BRD,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
309,45715,green-belt-reviews,plan-making,70000,local-authority:YOR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
310,45715,green-belt-reviews,plan-making,70000,local-authority:DAC,local-authority:SAL;local-authority:WAT,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
311,45715,green-belt-reviews,plan-making,70000,local-authority:DER,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
312,45715,green-belt-reviews,plan-making,140000,local-authority:DST,local-authority:BPC,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
313,45715,green-belt-reviews,plan-making,70000,local-authority:DUD,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
314,45715,green-belt-reviews,plan-making,70000,local-authority:DUR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
315,45715,green-belt-reviews,plan-making,210000,local-authority:NHE,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
316,45715,green-belt-reviews,plan-making,210000,local-authority:ELM,local-authority:SPE;local-authority:RUN,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
317,45715,green-belt-reviews,plan-making,70000,local-authority:ENF,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
318,45715,green-belt-reviews,plan-making,140000,local-authority:EPP,local-authority:HAR,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
319,45715,green-belt-reviews,plan-making,70000,local-authority:EPS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
320,45715,green-belt-reviews,plan-making,70000,local-authority:GED,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
321,45715,green-belt-reviews,plan-making,140000,local-authority:GRA,local-authority:MDW,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
322,45715,green-belt-reviews,plan-making,770000,local-authority:GLA,local-authority:RIC;local-authority:BDG;local-authority:WFT;local-authority:RDB;local-authority:HRY;local-authority:HNS;local-authority:BNE;local-authority:EAL;local-authority:HRW;local-authority:NWM;local-authority:STN,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
323,45715,green-belt-reviews,plan-making,70000,local-authority:GRT,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
324,45715,green-belt-reviews,plan-making,70000,local-authority:HAV,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
325,45715,green-belt-reviews,plan-making,70000,local-authority:HER,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
326,45715,green-belt-reviews,plan-making,70000,local-authority:HIG,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
327,45715,green-belt-reviews,plan-making,70000,local-authority:HIL,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
328,45715,green-belt-reviews,plan-making,70000,local-authority:KTT,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
329,45715,green-belt-reviews,plan-making,70000,local-authority:KIR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
330,45715,green-belt-reviews,plan-making,70000,local-authority:LAC,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
331,45715,green-belt-reviews,plan-making,70000,local-authority:LDS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
332,45715,green-belt-reviews,plan-making,70000,local-authority:LIF,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
333,45715,green-belt-reviews,plan-making,420000,local-authority:LCR,local-authority:SHN;local-authority:LIV;local-authority:KWL;local-authority:HAL;local-authority:SFT,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
334,45715,green-belt-reviews,plan-making,70000,local-authority:LUT,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
335,45715,green-belt-reviews,plan-making,70000,local-authority:NEW,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
336,45715,green-belt-reviews,plan-making,140000,local-authority:NET,local-authority:GAT,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
337,45715,green-belt-reviews,plan-making,70000,local-authority:NEC,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
338,45715,green-belt-reviews,plan-making,70000,local-authority:NED,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
339,45715,green-belt-reviews,plan-making,70000,local-authority:NHE,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
340,45715,green-belt-reviews,plan-making,70000,local-authority:NTY,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
341,45715,green-belt-reviews,plan-making,70000,local-authority:NYK,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
342,45715,green-belt-reviews,plan-making,70000,local-authority:NBL,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
343,45715,green-belt-reviews,plan-making,70000,local-authority:NGM,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
344,45715,green-belt-reviews,plan-making,70000,local-authority:NUN,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
345,45715,green-belt-reviews,plan-making,70000,local-authority:OLD,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
346,45715,green-belt-reviews,plan-making,70000,local-authority:PEN,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
347,45715,green-belt-reviews,plan-making,70000,local-authority:RED,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
348,45715,green-belt-reviews,plan-making,70000,local-authority:REI,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
349,45715,green-belt-reviews,plan-making,70000,local-authority:ROC,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
350,45715,green-belt-reviews,plan-making,70000,local-authority:ROS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
351,45715,green-belt-reviews,plan-making,70000,local-authority:ROT,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
352,45715,green-belt-reviews,plan-making,70000,local-authority:RUG,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
353,45715,green-belt-reviews,plan-making,70000,local-authority:RUS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
354,45715,green-belt-reviews,plan-making,70000,local-authority:SLF,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
355,45715,green-belt-reviews,plan-making,70000,local-authority:SAW,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
356,45715,green-belt-reviews,plan-making,70000,local-authority:SEV,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
357,45715,green-belt-reviews,plan-making,70000,local-authority:SHR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
358,45715,green-belt-reviews,plan-making,70000,local-authority:SOL,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
359,45715,green-belt-reviews,plan-making,140000,local-authority:SCA,local-authority:CAB,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
360,45715,green-belt-reviews,plan-making,70000,local-authority:SST,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
361,45715,green-belt-reviews,plan-making,70000,local-authority:STY,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
362,45715,green-belt-reviews,plan-making,70000,local-authority:SOS,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
363,45715,green-belt-reviews,plan-making,70000,local-authority:STF,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
364,45715,green-belt-reviews,plan-making,70000,local-authority:SKP,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
365,45715,green-belt-reviews,plan-making,70000,local-authority:STE,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
366,45715,green-belt-reviews,plan-making,70000,local-authority:STR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
367,45715,green-belt-reviews,plan-making,70000,local-authority:SND,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
368,45715,green-belt-reviews,plan-making,70000,local-authority:SRY,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
369,45715,green-belt-reviews,plan-making,70000,local-authority:SUR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
370,45715,green-belt-reviews,plan-making,70000,local-authority:TAW,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
371,45715,green-belt-reviews,plan-making,70000,local-authority:TAN,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
372,45715,green-belt-reviews,plan-making,210000,local-authority:TEW,local-authority:CHT;local-authority:COT,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
373,45715,green-belt-reviews,plan-making,70000,local-authority:THE,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
374,45715,green-belt-reviews,plan-making,70000,local-authority:THR,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
375,45715,green-belt-reviews,plan-making,70000,local-authority:TON,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
376,45715,green-belt-reviews,plan-making,70000,local-authority:TUN,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
377,45715,green-belt-reviews,plan-making,70000,local-authority:WLL,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
378,45715,green-belt-reviews,plan-making,70000,local-authority:WRT,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
379,45715,green-belt-reviews,plan-making,70000,local-authority:WAW,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
380,45715,green-belt-reviews,plan-making,70000,local-authority:WAE,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
381,45715,green-belt-reviews,plan-making,70000,local-authority:WEW,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
382,45715,green-belt-reviews,plan-making,70000,local-authority:WLA,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
383,45715,green-belt-reviews,plan-making,70000,local-authority:WGN,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
384,45715,green-belt-reviews,plan-making,280000,local-authority:WNM,local-authority:WOK;local-authority:BRC;local-authority:SLG,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
385,45715,green-belt-reviews,plan-making,70000,local-authority:WOI,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
386,45715,green-belt-reviews,plan-making,70000,local-authority:WLV,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
387,45715,green-belt-reviews,plan-making,70000,local-authority:WYE,,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,
388,45735,local-plans-delivery,plan-making,250000,local-authority:NSM,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
389,45735,local-plans-delivery,plan-making,250000,local-authority:OAD,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
390,45735,local-plans-delivery,plan-making,227962,local-authority:BAI,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
391,45735,local-plans-delivery,plan-making,227962,local-authority:BAN,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
392,45735,local-plans-delivery,plan-making,227962,local-authority:BAS,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
393,45735,local-plans-delivery,plan-making,227962,local-authority:BIR,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
394,45735,local-plans-delivery,plan-making,227962,local-authority:BLA,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
395,45735,local-plans-delivery,plan-making,227962,local-authority:BRE,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
396,45735,local-plans-delivery,plan-making,227962,local-authority:BRY,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
397,45735,local-plans-delivery,plan-making,227962,local-authority:BUC,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
398,45735,local-plans-delivery,plan-making,227962,local-authority:BUR,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
399,45735,local-plans-delivery,plan-making,227962,local-authority:CMD,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
400,45735,local-plans-delivery,plan-making,227962,local-authority:CAT,,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,
