dataset,field,field-dataset,guidance,hint,version
brownfield-land,GeoY,,"Enter the latitude of a point close to the centre of the site. The value should be 6 or fewer decimal places, using the WGS84 or ETRS89 coordinate systems specified by the [open standards for government guidance](https://www.gov.uk/government/publications/open-standards-for-government/exchange-of-location-point).",,1
brownfield-land,HazardousSubstances,,Enter ‘yes’ if the local planning authority is required by regulation 26(3) of the [Planning (Hazardous Substances) Regulations 2015](https://www.legislation.gov.uk/uksi/2015/627/regulation/26/made) to conduct an environmental impact assessment on the proposed development. Otherwise leave this blank.,,1
brownfield-land,Hectares,,"Enter the land area of the site in hectares, up to 2 decimal places. Use digits (2) rather than words (two).",,1
brownfield-land,LastUpdatedDate,,"Enter the date this entry in the register was updated, in the format YYYY-MM-DD.",,1
brownfield-land,MinNetDwellings,,,,1
brownfield-land,NetDwellingsRangeFrom,,"Enter the minimum number of dwellings that the local planning authority estimates the site should support, as defined in [regulation 2 of the 2017 Regulations](http://www.legislation.gov.uk/uksi/2017/403/regulation/2/made).",,1
brownfield-land,NetDwellingsRangeTo,,"Enter the maximum number of dwellings that the local planning authority estimates the site should support, as defined in [regulation 2 of the 2017 Regulations](http://www.legislation.gov.uk/uksi/2017/403/regulation/2/made).",,1
brownfield-land,Notes,,"Enter any general information about a site that developers might find useful, including a description of any housing development proposed for the site.
You may include links to any web pages that give:
* information on planning decisions related to any environmental impact assessments * the results of any related consultations * an explanation of how they were taken into account when making the decisions
You may also describe any non-housing development proposed for the site. Indicate how the buildings or land will be used, and the scale of any such development.
Content in this field does not need to be on a single line, but should be no longer than 4,000 characters. You can leave this field blank.",,1
brownfield-land,OrganisationLabel,,,,1
brownfield-land,OrganisationURI,,[Find your organisation in this list](https://www.digital-land.info/entity?typology=organisation) and enter the corresponding Open Data Communities URI.,,1
brownfield-land,OwnershipStatus,,"Indicate the site’s ownership by entering one of the following values:
* owned by a public authority * not owned by a public authority * mixed ownership
For more information see paragraph 5 of [Schedule 2 of the 2017 Regulations](http://www.legislation.gov.uk/uksi/2017/403/schedule/2/made).",,1
brownfield-land,PermissionDate,,"Enter the date the most recent permission was granted on the site, in the format YYYY-MM-DD. If no permission has been granted leave this blank.",,1
brownfield-land,PermissionType,,"Choose one of the following to indicate what permission type the site has:
* full planning permission * outline planning permission * reserved matters approval * permission in principle * technical details consent * planning permission granted under an order * other
‘Planning permission granted under an order’ means planning permission granted under a local development order, a mayoral development order or a neighbourhood development order.
Where more than one permission exists for the site, identify the latest permission granted. List any other permissions, including the date that each permission was granted or deemed to have been granted, in the ’Notes’ column.",,1
brownfield-land,PlanningHistory,,"Enter links to any web pages that give information on the site’s planning history (include the “http://” or “https://” prefix). Fields in this column can contain more than one link, as long as you separate multiple links with the pipe character (‘|’). You can leave this field blank.",,1
brownfield-land,PlanningStatus,,"Choose one of the following to indicate what stage of the planning process the site is at:
* permissioned * not permissioned * pending decision
When part of a site is permissioned, it should be recorded as “permissioned” and you should explain in the ‘Notes’ field why it’s only partly permissioned.
For more information see paragraph 5 of [Schedule 2 of the 2017 Regulations](http://www.legislation.gov.uk/uksi/2017/403/schedule/2/made).",,1
brownfield-land,SiteNameAddress,,"Enter the site name and address in a single line of text, for example:
``` Parcel of land behind, 221B Baker Street, Marylebone, London, NW1 6XE ```",,1
brownfield-land,SiteReference,,"Enter the unique reference your organisation uses to identify the site.
If one doesn’t exist, you need to create one. It should not be used by your organisation to identify any other sites, but can be borrowed from another data set listing the site. You could use the strategic site identifier from your local plan, for example:
``` EH/141 ```",,1
brownfield-land,SiteplanURL,,"Enter the URL of a web page hosting the site plan, beginning with either “http://” or “https://”.",,1
brownfield-land,brownfield-land,,,,1
brownfield-land,deliverable,,,,1
brownfield-land,end-date,,,,1
brownfield-land,entity,,,,1
brownfield-land,entry-date,,,,1
brownfield-land,hazardous-substances,,,,1
brownfield-land,hectares,,,,1
brownfield-land,latitude,,,,1
brownfield-land,longitude,,,,1
brownfield-land,maximum-net-dwellings,,,,1
brownfield-land,minimum-net-dwellings,,,,1
brownfield-land,name,,,,1
brownfield-land,notes,,,,1
brownfield-land,organisation,,,,1
brownfield-land,ownership-status,,,,1
brownfield-land,planning-permission-date,,,,1
brownfield-land,planning-permission-history,,,,1
brownfield-land,planning-permission-status,,,,1
brownfield-land,planning-permission-type,,,,1
brownfield-land,point,,,,1
brownfield-land,prefix,,,,1
brownfield-land,reference,,,,1
brownfield-land,site,,,,1
brownfield-land,site-address,,,,1
brownfield-land,site-categories,,,,1
brownfield-land,site-plan-url,,,,1
brownfield-land,start-date,,,,1
brownfield-site,brownfield-site,,,,1
brownfield-site,categories,,,,1
brownfield-site,documentation-url,,,,1
brownfield-site,end-date,,,,1
brownfield-site,entity,,,,1
brownfield-site,entry-date,,,,1
brownfield-site,geography,,,,1
brownfield-site,geometry,,,,1
brownfield-site,legislation,,,,1
brownfield-site,name,,,,1
brownfield-site,notes,,,,1
brownfield-site,organisation,,,,1
brownfield-site,point,,,,1
brownfield-site,prefix,,,,1
brownfield-site,reference,,,,1
brownfield-site,start-date,,,,1
buffer-zone,buffer-zone,,,,1
buffer-zone,categories,,,,1
buffer-zone,documentation-url,,,,1
buffer-zone,end-date,,,,1
buffer-zone,entity,,,,1
buffer-zone,entry-date,,,,1
buffer-zone,geography,,,,1
buffer-zone,geometry,,,,1
buffer-zone,legislation,,,,1
buffer-zone,name,,,,1
buffer-zone,notes,,,,1
buffer-zone,organisation,,,,1
buffer-zone,point,,,,1
buffer-zone,prefix,,,,1
buffer-zone,reference,,,,1
buffer-zone,start-date,,,,1
building-preservation-notice,building-preservation-notice,,,,1
building-preservation-notice,categories,,,,1
building-preservation-notice,documentation-url,,,,1
building-preservation-notice,end-date,,,,1
building-preservation-notice,entity,,,,1
building-preservation-notice,entry-date,,,,1
building-preservation-notice,geography,,,,1
building-preservation-notice,geometry,,,,1
building-preservation-notice,legislation,,,,1
building-preservation-notice,name,,,,1
building-preservation-notice,notes,,,,1
building-preservation-notice,organisation,,,,1
building-preservation-notice,point,,,,1
building-preservation-notice,prefix,,,,1
building-preservation-notice,reference,,,,1
building-preservation-notice,start-date,,,,1
category,category,,,,1
category,end-date,,,,1
category,entity,,,,1
category,entry-date,,,,1
category,name,,,,1
category,notes,,,,1
category,prefix,,,,1
category,reference,,,,1
category,start-date,,,,1
central-activities-zone,description,,,,1
central-activities-zone,documentation-url,,,,1
central-activities-zone,end-date,,,,1
central-activities-zone,entity,,,,1
central-activities-zone,entry-date,,,,1
central-activities-zone,geometry,,,,1
central-activities-zone,name,,,,1
central-activities-zone,notes,,,,1
central-activities-zone,organisation,,,,1
central-activities-zone,point,,,,1
central-activities-zone,prefix,,,,1
central-activities-zone,reference,,,,1
central-activities-zone,start-date,,,,1
certificate-of-immunity,categories,,,,1
certificate-of-immunity,certificate-of-immunity,,,,1
certificate-of-immunity,documentation-url,,,,1
certificate-of-immunity,end-date,,,,1
certificate-of-immunity,entity,,,,1
certificate-of-immunity,entry-date,,,,1
certificate-of-immunity,geography,,,,1
certificate-of-immunity,geometry,,,,1
certificate-of-immunity,legislation,,,,1
certificate-of-immunity,name,,,,1
certificate-of-immunity,notes,,,,1
certificate-of-immunity,organisation,,,,1
certificate-of-immunity,point,,,,1
certificate-of-immunity,prefix,,,,1
certificate-of-immunity,reference,,,,1
certificate-of-immunity,start-date,,,,1
checksum,bytes,,,,1
checksum,checksum,,,,1
checksum,dataset,,,,1
checksum,end-date,,,,1
checksum,entry-date,,,,1
checksum,line-count,,,,1
checksum,path,,,,1
checksum,start-date,,,,1
coastal-change-management-area,categories,,,,1
coastal-change-management-area,coastal-change-management-area,,,,1
coastal-change-management-area,documentation-url,,,,1
coastal-change-management-area,end-date,,,,1
coastal-change-management-area,entity,,,,1
coastal-change-management-area,entry-date,,,,1
coastal-change-management-area,geography,,,,1
coastal-change-management-area,geometry,,,,1
coastal-change-management-area,legislation,,,,1
coastal-change-management-area,name,,,,1
coastal-change-management-area,notes,,,,1
coastal-change-management-area,organisation,,,,1
coastal-change-management-area,point,,,,1
coastal-change-management-area,prefix,,,,1
coastal-change-management-area,reference,,,,1
coastal-change-management-area,start-date,,,,1
collection,collection,,,,1
collection,end-date,,,,1
collection,entry-date,,,,1
collection,name,,,,1
collection,start-date,,,,1
column-field,end-date,,,,1
column-field,entry-date,,,,1
column-field,field,,,,1
column-field,dataset,,,,1
column-field,start-date,,,,1
column-field,resource,,,,1
column-field,column,,,,1
column,column,,,,1
column,dataset,,,,1
column,end-date,,,,1
column,endpoint,,,,1
column,entry-date,,,,1
column,field,,,,1
column,resource,,,,1
column,start-date,,,,1
combine,dataset,,,,1
combine,end-date,,,,1
combine,endpoint,,,,1
combine,entry-date,,,,1
combine,field,,,,1
combine,resource,,,,1
combine,separator,,,,1
combine,start-date,,,,1
common-land-and-village-green,categories,,,,1
common-land-and-village-green,common-land-and-village-green,,,,1
common-land-and-village-green,documentation-url,,,,1
common-land-and-village-green,end-date,,,,1
common-land-and-village-green,entity,,,,1
common-land-and-village-green,entry-date,,,,1
common-land-and-village-green,geography,,,,1
common-land-and-village-green,geometry,,,,1
common-land-and-village-green,legislation,,,,1
common-land-and-village-green,name,,,,1
common-land-and-village-green,notes,,,,1
common-land-and-village-green,organisation,,,,1
common-land-and-village-green,point,,,,1
common-land-and-village-green,prefix,,,,1
common-land-and-village-green,reference,,,,1
common-land-and-village-green,start-date,,,,1
company,end-date,,,,1
company,entity,,,,1
company,entry-date,,,,1
company,name,,,,1
company,notes,,,,1
company,prefix,,,,1
company,reference,,,,1
company,start-date,,,,1
company,twitter,,,,1
company,website,,,,1
company,wikidata,,,,1
company,wikipedia,,,,1
concat,end-date,,,,1
concat,entry-date,,,,1
concat,endpoint,,,,1
concat,field,,,,1
concat,fields,,,,1
concat,dataset,,,,1
concat,resource,,,,1
concat,separator,,,,1
concat,start-date,,,,1
conservation-area-document-type,end-date,,,,1
conservation-area-document-type,entity,,,,1
conservation-area-document-type,entry-date,,,,1
conservation-area-document-type,name,,,,1
conservation-area-document-type,notes,,,,1
conservation-area-document-type,prefix,,,,1
conservation-area-document-type,reference,,,,1
conservation-area-document-type,start-date,,,,1
conservation-area-document,conservation-area,,,,1
conservation-area-document,description,,,,1
conservation-area-document,document-type,conservation-area-document-type,,,1
conservation-area-document,document-url,,,,1
conservation-area-document,documentation-url,,,,1
conservation-area-document,end-date,,,,1
conservation-area-document,entity,,,,1
conservation-area-document,entry-date,,,,1
conservation-area-document,name,,,,1
conservation-area-document,notes,,,,1
conservation-area-document,organisation,,,,1
conservation-area-document,prefix,,,,1
conservation-area-document,reference,,,,1
conservation-area-document,start-date,,,,1
conservation-area,categories,,,,1
conservation-area,conservation-area,,,,1
conservation-area,documentation-url,,,,1
conservation-area,end-date,,,,1
conservation-area,entity,,,,1
conservation-area,entry-date,,,,1
conservation-area,geometry,,,,1
conservation-area,legislation,,,,1
conservation-area,name,,,,1
conservation-area,notes,,,,1
conservation-area,organisation,,,,1
conservation-area,point,,,,1
conservation-area,prefix,,,,1
conservation-area,reference,,,,1
conservation-area,start-date,,,,1
contaminated-land,categories,,,,1
contaminated-land,contaminated-land,,,,1
contaminated-land,documentation-url,,,,1
contaminated-land,end-date,,,,1
contaminated-land,entity,,,,1
contaminated-land,entry-date,,,,1
contaminated-land,geography,,,,1
contaminated-land,geometry,,,,1
contaminated-land,legislation,,,,1
contaminated-land,name,,,,1
contaminated-land,notes,,,,1
contaminated-land,organisation,,,,1
contaminated-land,point,,,,1
contaminated-land,prefix,,,,1
contaminated-land,reference,,,,1
contaminated-land,start-date,,,,1
contribution-funding-status,description,,,,1
contribution-funding-status,end-date,,,,1
contribution-funding-status,entity,,,,1
contribution-funding-status,entry-date,,,,1
contribution-funding-status,name,,,,1
contribution-funding-status,notes,,,,1
contribution-funding-status,prefix,,,,1
contribution-funding-status,reference,,,,1
contribution-funding-status,start-date,,,,1
contribution-purpose,description,,,,1
contribution-purpose,developer-agreement-type,,,,1
contribution-purpose,end-date,,,,1
contribution-purpose,entity,,,,1
contribution-purpose,entry-date,,,,1
contribution-purpose,name,,,,1
contribution-purpose,notes,,,,1
contribution-purpose,prefix,,,,1
contribution-purpose,reference,,,,1
contribution-purpose,start-date,,,,1
control-of-major-accident-hazards-site,categories,,,,1
control-of-major-accident-hazards-site,control-of-major-accident-hazards-site,,,,1
control-of-major-accident-hazards-site,documentation-url,,,,1
control-of-major-accident-hazards-site,end-date,,,,1
control-of-major-accident-hazards-site,entity,,,,1
control-of-major-accident-hazards-site,entry-date,,,,1
control-of-major-accident-hazards-site,geography,,,,1
control-of-major-accident-hazards-site,geometry,,,,1
control-of-major-accident-hazards-site,legislation,,,,1
control-of-major-accident-hazards-site,name,,,,1
control-of-major-accident-hazards-site,notes,,,,1
control-of-major-accident-hazards-site,organisation,,,,1
control-of-major-accident-hazards-site,point,,,,1
control-of-major-accident-hazards-site,prefix,,,,1
control-of-major-accident-hazards-site,reference,,,,1
control-of-major-accident-hazards-site,start-date,,,,1
convert,end-date,,,,1
convert,endpoint,,,,1
convert,entry-date,,,,1
convert,parameters,,,,1
convert,dataset,,,,1
convert,plugin,,,,1
convert,resource,,,,1
convert,start-date,,,,1
datapackage-dataset,datapackage,,,,1
datapackage-dataset,dataset,,,,1
datapackage-dataset,end-date,,,,1
datapackage-dataset,entry-date,,,,1
datapackage-dataset,start-date,,,,1
datapackage,datapackage,,,,1
datapackage,description,,,,1
datapackage,end-date,,,,1
datapackage,entry-date,,,,1
datapackage,name,,,,1
datapackage,start-date,,,,1
datapackage,text,,,,1
dataset-field,end-date,,,,1
dataset-field,entry-date,,,,1
dataset-field,field,,,,1
dataset-field,field-dataset,,,,1
dataset-field,guidance,,,,1
dataset-field,hint,,,,1
dataset-field,dataset,,,,1
dataset-field,start-date,,,,1
dataset-resource,end-date,,,,1
dataset-resource,entry-date,,,,1
dataset-resource,dataset,,,,1
dataset-resource,entity-count,,,,1
dataset-resource,entry-count,,,,1
dataset-resource,line-count,,,,1
dataset-resource,mime-type,,,,1
dataset-resource,internal-path,,,,1
dataset-resource,internal-mime-type,,,,1
dataset-resource,resource,,,,1
dataset-resource,start-date,,,,1
dataset-schema,dataset,,,,1
dataset-schema,end-date,,,,1
dataset-schema,entry-date,,,,1
dataset-schema,schema,,,,1
dataset-schema,start-date,,,,1
dataset,attribution,,,,1
dataset,collection,,,,1
dataset,dataset,,,,1
dataset,description,,,,1
dataset,end-date,,,,1
dataset,entry-date,,,,1
dataset,key-field,,,,1
dataset,entity-minimum,,,,1
dataset,entity-maximum,,,,1
dataset,licence,,,,1
dataset,name,,,,1
dataset,paint-options,,,,1
dataset,plural,,,,1
dataset,phase,,,,1
dataset,prefix,,,,1
dataset,realm,,,,1
dataset,start-date,,,,1
dataset,text,,,,1
dataset,themes,,,,1
dataset,typology,,,,1
dataset,version,,,,1
dataset,wikidata,,,,1
dataset,wikipedia,,,,1
datatype,datatype,,,,1
datatype,end-date,,,,1
datatype,entry-date,,,,1
datatype,name,,,,1
datatype,start-date,,,,1
datatype,text,,,,1
default-value,dataset,,,,1
default-value,end-date,,,,1
default-value,endpoint,,,,1
default-value,entry-date,,,,1
default-value,entry-number,,,,1
default-value,field,,,,1
default-value,resource,,,,1
default-value,start-date,,,,1
default-value,value,,,,1
default,dataset,,,,1
default,default-field,,,,1
default,end-date,,,,1
default,endpoint,,,,1
default,entry-date,,,,1
default,entry-number,,,,1
default,field,,,,1
default,resource,,,,1
default,start-date,,,,1
design-code-area,description,,,,1
design-code-area,design-code,,,,1
design-code-area,design-code-rules,,,,1
design-code-area,document-url,,,,1
design-code-area,documentation-url,,,,1
design-code-area,end-date,,,,1
design-code-area,entity,,,,1
design-code-area,entry-date,,,,1
design-code-area,geometry,,,,1
design-code-area,name,,,,1
design-code-area,notes,,,,1
design-code-area,organisation,,,,1
design-code-area,point,,,,1
design-code-area,prefix,,,,1
design-code-area,reference,,,,1
design-code-area,start-date,,,,1
design-code-category,end-date,,,,1
design-code-category,entity,,,,1
design-code-category,entry-date,,,,1
design-code-category,name,,,,1
design-code-category,notes,,,,1
design-code-category,prefix,,,,1
design-code-category,reference,,,,1
design-code-category,start-date,,,,1
design-code-rule,description,,,,1
design-code-rule,design-code,,,,1
design-code-rule,document-url,,,,1
design-code-rule,documentation-url,,,,1
design-code-rule,end-date,,,,1
design-code-rule,entity,,,,1
design-code-rule,entry-date,,,,1
design-code-rule,name,,,,1
design-code-rule,notes,,,,1
design-code-rule,organisation,,,,1
design-code-rule,prefix,,,,1
design-code-rule,reference,,,,1
design-code-rule,start-date,,,,1
design-code-status,end-date,,,,1
design-code-status,entity,,,,1
design-code-status,entry-date,,,,1
design-code-status,name,,,,1
design-code-status,notes,,,,1
design-code-status,prefix,,,,1
design-code-status,reference,,,,1
design-code-status,start-date,,,,1
design-code,description,,,,1
design-code,design-code-categories,,,,1
design-code,design-code-status,,,,1
design-code,document-url,,,,1
design-code,documentation-url,,,,1
design-code,end-date,,,,1
design-code,entity,,,,1
design-code,entry-date,,,,1
design-code,name,,,,1
design-code,notes,,,,1
design-code,organisation,,,,1
design-code,prefix,,,,1
design-code,reference,,,,1
design-code,start-date,,,,1
developer-agreement-contribution,amount,,,,1
developer-agreement-contribution,contribution-purpose,,,,1
developer-agreement-contribution,developer-agreement,,,,1
developer-agreement-contribution,developer-agreement-contribution,,,,1
developer-agreement-contribution,end-date,,,,1
developer-agreement-contribution,entity,,,,1
developer-agreement-contribution,entry-date,,,,1
developer-agreement-contribution,name,,,,1
developer-agreement-contribution,notes,,,,1
developer-agreement-contribution,organisation,,,,1
developer-agreement-contribution,prefix,,,,1
developer-agreement-contribution,reference,,,,1
developer-agreement-contribution,start-date,,,,1
developer-agreement-contribution,units,,,,1
developer-agreement-transaction,amount,,,,1
developer-agreement-transaction,contribution-funding-status,,,,1
developer-agreement-transaction,developer-agreement-contribution,,,,1
developer-agreement-transaction,developer-agreement-transaction,,,,1
developer-agreement-transaction,end-date,,,,1
developer-agreement-transaction,entity,,,,1
developer-agreement-transaction,entry-date,,,,1
developer-agreement-transaction,name,,,,1
developer-agreement-transaction,notes,,,,1
developer-agreement-transaction,organisation,,,,1
developer-agreement-transaction,prefix,,,,1
developer-agreement-transaction,reference,,,,1
developer-agreement-transaction,start-date,,,,1
developer-agreement-transaction,units,,,,1
developer-agreement-type,description,,,,1
developer-agreement-type,end-date,,,,1
developer-agreement-type,entity,,,,1
developer-agreement-type,entry-date,,,,1
developer-agreement-type,name,,,,1
developer-agreement-type,notes,,,,1
developer-agreement-type,prefix,,,,1
developer-agreement-type,reference,,,,1
developer-agreement-type,start-date,,,,1
developer-agreement,developer-agreement,,,,1
developer-agreement,developer-agreement-type,,,,1
developer-agreement,document-url,,,,1
developer-agreement,end-date,,,,1
developer-agreement,entity,,,,1
developer-agreement,entry-date,,,,1
developer-agreement,name,,,,1
developer-agreement,notes,,,,1
developer-agreement,organisation,,,,1
developer-agreement,planning-application,,,,1
developer-agreement,prefix,,,,1
developer-agreement,reference,,,,1
developer-agreement,start-date,,,,1
development-corporation,company,,,,1
development-corporation,end-date,,,,1
development-corporation,entity,,,,1
development-corporation,entry-date,,,,1
development-corporation,local-planning-authority,,,,1
development-corporation,name,,,,1
development-corporation,notes,,,,1
development-corporation,opendatacommunities-uri,,,,1
development-corporation,organisation,,,,1
development-corporation,parliament-thesaurus,,,,1
development-corporation,prefix,,,,1
development-corporation,reference,,,,1
development-corporation,start-date,,,,1
development-corporation,statistical-geography,,,,1
development-corporation,twitter,,,,1
development-corporation,website,,,,1
development-corporation,wikidata,,,,1
development-corporation,wikipedia,,,,1
development-metric,end-date,,,,1
development-metric,entity,,,,1
development-metric,entry-date,,,,1
development-metric,name,,,,1
development-metric,notes,,,,1
development-metric,prefix,,,,1
development-metric,reference,,,,1
development-metric,start-date,,,,1
development-plan-document,description,,,,1
development-plan-document,development-plan,,,,1
development-plan-document,document-type,development-plan-document-type,,,1
development-plan-document,document-url,,,,1
development-plan-document,documentation-url,,,,1
development-plan-document,end-date,,,,1
development-plan-document,entity,,,,1
development-plan-document,entry-date,,,,1
development-plan-document,name,,,,1
development-plan-document,notes,,,,1
development-plan-document,organisation,,,,1
development-plan-document,prefix,,,,1
development-plan-document,reference,,,,1
development-plan-document,start-date,,,,1
development-plan-status,end-date,,,,1
development-plan-status,entity,,,,1
development-plan-status,entry-date,,,,1
development-plan-status,name,,,,1
development-plan-status,notes,,,,1
development-plan-status,prefix,,,,1
development-plan-status,reference,,,,1
development-plan-status,start-date,,,,1
development-plan-timetable,development-plan,,,,1
