dataset,field,guidance,hint
coastal-change-management-area,notes,,
coastal-change-management-area,organisation,,
coastal-change-management-area,point,,
coastal-change-management-area,reference,,
coastal-change-management-area,start-date,,
coastal-change-management-area,coastal-change-management-area,,
collection,collection,,
collection,end-date,,
collection,entry-date,,
collection,name,,
collection,start-date,,
column-field,end-date,,
column-field,entry-date,,
column-field,field,,
column-field,dataset,,
column-field,start-date,,
column-field,resource,,
column-field,column,,
column,column,,
column,dataset,,
column,end-date,,
column,entry-date,,
column,field,,
column,resource,,
column,start-date,,
combine,end-date,,
combine,entry-date,,
combine,field,,
combine,dataset,,
combine,resource,,
combine,separator,,
combine,start-date,,
common-land-and-village-green,categories,,
common-land-and-village-green,documentation-url,,
common-land-and-village-green,end-date,,
common-land-and-village-green,entity,,
common-land-and-village-green,entry-date,,
common-land-and-village-green,geography,,
common-land-and-village-green,geometry,,
common-land-and-village-green,legislation,,
common-land-and-village-green,name,,
common-land-and-village-green,notes,,
common-land-and-village-green,organisation,,
common-land-and-village-green,point,,
common-land-and-village-green,reference,,
common-land-and-village-green,start-date,,
common-land-and-village-green,common-land-and-village-green,,
company,end-date,,
company,entity,,
company,entry-date,,
company,name,,
company,start-date,,
company,twitter,,
company,website,,
company,wikidata,,
company,wikipedia,,
concat,end-date,,
concat,entry-date,,
concat,field,,
concat,fields,,
concat,dataset,,
concat,resource,,
concat,separator,,
concat,start-date,,
conservation-area,categories,,
conservation-area,documentation-url,,
conservation-area,end-date,,
conservation-area,entity,,
conservation-area,entry-date,,
conservation-area,geometry,,
conservation-area,legislation,,
conservation-area,name,,
conservation-area,notes,,
conservation-area,organisation,,
conservation-area,point,,
conservation-area,reference,,
conservation-area,start-date,,
conservation-area,conservation-area,,
contaminated-land,categories,,
contaminated-land,documentation-url,,
contaminated-land,end-date,,
contaminated-land,entity,,
contaminated-land,entry-date,,
contaminated-land,geography,,
contaminated-land,geometry,,
contaminated-land,legislation,,
contaminated-land,name,,
contaminated-land,notes,,
