dataset,field,guidance,hint
safeguarded-aerodrome,safeguarded-aerodrome,,
safeguarded-military-explosives-site,categories,,
safeguarded-military-explosives-site,documentation-url,,
safeguarded-military-explosives-site,end-date,,
safeguarded-military-explosives-site,entity,,
safeguarded-military-explosives-site,entry-date,,
safeguarded-military-explosives-site,geography,,
safeguarded-military-explosives-site,geometry,,
safeguarded-military-explosives-site,legislation,,
safeguarded-military-explosives-site,name,,
safeguarded-military-explosives-site,notes,,
safeguarded-military-explosives-site,organisation,,
safeguarded-military-explosives-site,point,,
safeguarded-military-explosives-site,reference,,
safeguarded-military-explosives-site,start-date,,
safeguarded-military-explosives-site,safeguarded-military-explosives-site,,
safeguarded-wharf,categories,,
safeguarded-wharf,documentation-url,,
safeguarded-wharf,end-date,,
safeguarded-wharf,entity,,
safeguarded-wharf,entry-date,,
safeguarded-wharf,geography,,
safeguarded-wharf,geometry,,
safeguarded-wharf,legislation,,
safeguarded-wharf,name,,
safeguarded-wharf,notes,,
safeguarded-wharf,organisation,,
safeguarded-wharf,point,,
safeguarded-wharf,reference,,
safeguarded-wharf,start-date,,
safeguarded-wharf,safeguarded-wharf,,
safety-hazard-area,categories,,
safety-hazard-area,documentation-url,,
safety-hazard-area,end-date,,
safety-hazard-area,entity,,
safety-hazard-area,entry-date,,
safety-hazard-area,geography,,
safety-hazard-area,geometry,,
safety-hazard-area,legislation,,
safety-hazard-area,name,,
safety-hazard-area,notes,,
safety-hazard-area,organisation,,
safety-hazard-area,point,,
safety-hazard-area,reference,,
safety-hazard-area,start-date,,
safety-hazard-area,safety-hazard-area,,
scheduled-monument,categories,,
scheduled-monument,documentation-url,,
scheduled-monument,end-date,,
scheduled-monument,entity,,
scheduled-monument,entry-date,,
scheduled-monument,geography,,
scheduled-monument,geometry,,
scheduled-monument,legislation,,
scheduled-monument,name,,
scheduled-monument,notes,,
scheduled-monument,organisation,,
scheduled-monument,point,,
scheduled-monument,reference,,
scheduled-monument,start-date,,
scheduled-monument,scheduled-monument,,
schema-field,end-date,,
schema-field,entry-date,,
schema-field,field,,
schema-field,schema,,
schema-field,start-date,,
schema,description,,
schema,end-date,,
schema,entry-date,,
schema,key-field,,
schema,name,,
schema,schema,,
schema,start-date,,
self-and-custom-buildarea,categories,,
self-and-custom-buildarea,documentation-url,,
self-and-custom-buildarea,end-date,,
self-and-custom-buildarea,entity,,
self-and-custom-buildarea,entry-date,,
self-and-custom-buildarea,geography,,
self-and-custom-buildarea,geometry,,
self-and-custom-buildarea,legislation,,
self-and-custom-buildarea,name,,
self-and-custom-buildarea,notes,,
self-and-custom-buildarea,organisation,,
self-and-custom-buildarea,point,,
self-and-custom-buildarea,reference,,
self-and-custom-buildarea,start-date,,
self-and-custom-buildarea,self-and-custom-buildarea,,
severity,description,,
severity,end-date,,
severity,entry-date,,
severity,name,,
severity,severity,,
severity,start-date,,
site-category,end-date,,
site-category,entity,,
site-category,entry-date,,
site-category,name,,
site-category,site-category,,
site-category,start-date,,
site-of-nature-conservation-importance,description,,
site-of-nature-conservation-importance,developer-agreement-type,,
site-of-nature-conservation-importance,development-plan-document,,
site-of-nature-conservation-importance,development-plan-types,,
site-of-nature-conservation-importance,development-policies,,
site-of-nature-conservation-importance,document,,
site-of-nature-conservation-importance,document-types,,
site-of-nature-conservation-importance,document-url,,
site-of-nature-conservation-importance,end-date,,
site-of-nature-conservation-importance,entity,,
site-of-nature-conservation-importance,entry-date,,
site-of-nature-conservation-importance,geographies,,
site-of-nature-conservation-importance,name,,
site-of-nature-conservation-importance,notes,,
site-of-nature-conservation-importance,organisations,,
site-of-nature-conservation-importance,planning-application,,
site-of-nature-conservation-importance,start-date,,
site-of-nature-conservation-importance,site-of-nature-conservation-importance,,
site-of-special-scientific-interest,document-url,,
site-of-special-scientific-interest,documentation-url,,
site-of-special-scientific-interest,end-date,,
site-of-special-scientific-interest,entity,,
site-of-special-scientific-interest,entry-date,,
site-of-special-scientific-interest,geography,,
site-of-special-scientific-interest,geometry,,
site-of-special-scientific-interest,name,,
site-of-special-scientific-interest,notes,,
site-of-special-scientific-interest,organisation,,
site-of-special-scientific-interest,point,,
site-of-special-scientific-interest,reference,,
site-of-special-scientific-interest,start-date,,
site-of-special-scientific-interest,wikipedia,,
site-of-special-scientific-interest,wikidata,,
skip,end-date,,
skip,entry-date,,
skip,pattern,,
skip,dataset,,
skip,resource,,
skip,start-date,,
source,attribution,,
source,collection,,
source,documentation-url,,
source,end-date,,
source,endpoint,,
source,entry-date,,
source,licence,,
source,organisation,,
source,pipelines,,
source,source,,
source,start-date,,
special-area-of-conservation,categories,,
special-area-of-conservation,documentation-url,,
special-area-of-conservation,end-date,,
special-area-of-conservation,entity,,
special-area-of-conservation,entry-date,,
special-area-of-conservation,geography,,
special-area-of-conservation,geometry,,
special-area-of-conservation,legislation,,
special-area-of-conservation,name,,
special-area-of-conservation,notes,,
special-area-of-conservation,organisation,,
special-area-of-conservation,point,,
special-area-of-conservation,reference,,
special-area-of-conservation,start-date,,
special-area-of-conservation,special-area-of-conservation,,
special-protection-area,description,,
special-protection-area,document-url,,
special-protection-area,documentation-url,,
special-protection-area,end-date,,
special-protection-area,entity,,
special-protection-area,entry-date,,
special-protection-area,geometry,,
special-protection-area,name,,
special-protection-area,notes,,
special-protection-area,organisation,,
special-protection-area,point,,
special-protection-area,start-date,,
special-protection-area,wikipedia,,
special-protection-area,wikidata,,
specification-status,description,,
specification-status,end-date,,
specification-status,entry-date,,
specification-status,specification-status,,
specification-status,name,,
specification-status,start-date,,
specification,datasets,,
specification,description,,
specification,end-date,,
specification,entry-date,,
specification,name,,
specification,json,,
specification,prefix,,
specification,specification,,
specification,specification-status,,
specification,start-date,,
street,end-date,,
street,entity,,
street,entry-date,,
street,name,,
street,start-date,,
street,street,,
suitable-alternative-green-space,categories,,
suitable-alternative-green-space,documentation-url,,
suitable-alternative-green-space,end-date,,
suitable-alternative-green-space,entity,,
suitable-alternative-green-space,entry-date,,
suitable-alternative-green-space,geography,,
suitable-alternative-green-space,geometry,,
suitable-alternative-green-space,legislation,,
suitable-alternative-green-space,name,,
suitable-alternative-green-space,notes,,
suitable-alternative-green-space,organisation,,
suitable-alternative-green-space,point,,
suitable-alternative-green-space,reference,,
suitable-alternative-green-space,start-date,,
suitable-alternative-green-space,suitable-alternative-green-space,,
theme,end-date,,
theme,entry-date,,
theme,name,,
theme,start-date,,
theme,theme,,
transform,end-date,,
transform,entry-date,,
transform,field,,
transform,dataset,,
transform,replacement-field,,
transform,start-date,,
transport-under-tcpa-route,categories,,
transport-under-tcpa-route,documentation-url,,
transport-under-tcpa-route,end-date,,
transport-under-tcpa-route,entity,,
transport-under-tcpa-route,entry-date,,
transport-under-tcpa-route,geography,,
transport-under-tcpa-route,geometry,,
transport-under-tcpa-route,legislation,,
transport-under-tcpa-route,name,,
transport-under-tcpa-route,notes,,
transport-under-tcpa-route,organisation,,
transport-under-tcpa-route,point,,
transport-under-tcpa-route,reference,,
transport-under-tcpa-route,start-date,,
transport-under-tcpa-route,transport-under-tcpa-route,,
tree-preservation-order,description,,
tree-preservation-order,documentation-url,,
tree-preservation-order,document-url,,
tree-preservation-order,end-date,,
tree-preservation-order,entity,,
tree-preservation-order,entry-date,,
tree-preservation-order,legislation,,
tree-preservation-order,name,,
tree-preservation-order,notes,,
tree-preservation-order,organisation,,
tree-preservation-order,prefix,,
tree-preservation-order,reference,,
tree-preservation-order,start-date,,
tree-preservation-type,end-date,,
tree-preservation-type,entity,,
tree-preservation-type,entry-date,,
tree-preservation-type,name,,
tree-preservation-type,notes,,
tree-preservation-type,reference,,
tree-preservation-type,start-date,,
tree-preservation-type,tree-preservation-type,,
tree-preservation-zone,address-text,,
tree-preservation-zone,description,,
tree-preservation-zone,end-date,,
tree-preservation-zone,entity,,
tree-preservation-zone,entry-date,,
tree-preservation-zone,geometry,,
tree-preservation-zone,name,,
tree-preservation-zone,notes,,
tree-preservation-zone,organisation,,
tree-preservation-zone,prefix,,
tree-preservation-zone,point,,
tree-preservation-zone,reference,,
tree-preservation-zone,start-date,,
tree-preservation-zone,tree-species-list,,
tree-preservation-zone,tree-preservation-type,,
tree-preservation-zone,tree-preservation-order,,
tree-preservation-zone,uprn,,
tree,address,,
tree,address-text,,
tree,description,,
tree,end-date,,
tree,entity,,
tree,entry-date,,
tree,geometry,,
tree,name,,
tree,notes,,
tree,organisation,,
tree,point,,
tree,prefix,,
tree,reference,,
tree,start-date,,
tree,tree,,
tree,tree-species,,
tree,tree-preservation-order,,
tree,tree-preservation-order-tree,,
typology,description,,
typology,end-date,,
typology,entry-date,,
typology,name,,
typology,plural,,
typology,start-date,,
typology,text,,
typology,typology,,
typology,wikidata,,
typology,wikipedia,,
waste-authority,billing-authority,,
waste-authority,company,,
waste-authority,end-date,,
waste-authority,entity,,
waste-authority,entry-date,,
waste-authority,name,,
waste-authority,opendatacommunities-uri,,
waste-authority,parliament-thesaurus,,
waste-authority,prefix,,
waste-authority,reference,,
waste-authority,region,,
waste-authority,start-date,,
waste-authority,statistical-geography,,
waste-authority,twitter,,
waste-authority,website,,
waste-authority,wikidata,,
waste-authority,wikipedia,,
wildbelt,categories,,
wildbelt,documentation-url,,
wildbelt,end-date,,
wildbelt,entity,,
wildbelt,entry-date,,
wildbelt,geography,,
wildbelt,geometry,,
wildbelt,legislation,,
wildbelt,name,,
wildbelt,notes,,
wildbelt,organisation,,
wildbelt,point,,
wildbelt,reference,,
wildbelt,start-date,,
wildbelt,wildbelt,,
wildlife,categories,,
wildlife,documentation-url,,
wildlife,end-date,,
wildlife,entity,,
wildlife,entry-date,,
wildlife,geography,,
wildlife,geometry,,
wildlife,legislation,,
wildlife,name,,
wildlife,notes,,
wildlife,organisation,,
wildlife,point,,
wildlife,reference,,
wildlife,start-date,,
wildlife,wildlife,,
world-heritage-site-buffer-zone,documentation-url,,
world-heritage-site-buffer-zone,end-date,,
world-heritage-site-buffer-zone,entity,,
world-heritage-site-buffer-zone,entry-date,,
world-heritage-site-buffer-zone,geography,,
world-heritage-site-buffer-zone,geometry,,
world-heritage-site-buffer-zone,name,,
world-heritage-site-buffer-zone,notes,,
world-heritage-site-buffer-zone,organisation,,
world-heritage-site-buffer-zone,point,,
world-heritage-site-buffer-zone,reference,,
world-heritage-site-buffer-zone,start-date,,
world-heritage-site-buffer-zone,world-heritage-site,,
world-heritage-site,documentation-url,,
world-heritage-site,end-date,,
world-heritage-site,entity,,
world-heritage-site,entry-date,,
world-heritage-site,geometry,,
world-heritage-site,name,,
world-heritage-site,notes,,
world-heritage-site,organisation,,
world-heritage-site,point,,
world-heritage-site,reference,,
world-heritage-site,start-date,,
world-heritage-site,wikipedia,,
world-heritage-site,wikidata,,
world-heritage-site,world-heritage-convention-site,,
